solID,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
3_807_1,2.60604477823695,0.521551308136576,0.107973877483529,1.73901184483496,0.531599833374355,0.250888716611868,1.44450597281248,0.889224587416308,0.157279502106182,2.31268479307602,0.925502144713817,0.120596802936681,2.05363304028749,0.950477179995201,0.341798223767965,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564582,0,0.137848800226925,0.291406575781036,0.555507803155704,0.005194699784693,7220864.474564,0,0.0539889335632324,307.912899017334,1,807,0,3,1613,TRUE,TRUE,3
3_860_1,2.6827875703202,0.83865036561308,0.0318626462627309,2.8274209060541,0.824890547341152,0.152709620317524,1.27834501084059,0.970581562372268,0.263224231050847,2.74169579150066,0.997787883043035,0.104182332753422,0.850795101205848,0.504211096500566,0.0959149170911131,1.09012252284664,0.43732094453658,0.579802898045755,894284.610845504,0,0.198606430006922,0.0406482726716207,0.0861207633999155,0.123759681785326,7220864.474564,0,0.0509710311889648,323.827517986298,1,860,1,3,1719,FALSE,TRUE,2
3_876_2,2.59644534912379,0.885089382855923,0.305994892818813,1.0206218611278,0.71015121756617,0.323487223953205,2.11659723038631,0.625311169310906,0.259446738985069,2.00023707137379,0.529813508027527,0.274876712225818,2.67399607390901,0.622849507584133,0.239218206860614,0.777895938773985,0.392746063245103,0.389724023921097,12054.8851744535,0,0.138580158035423,0.187620292266582,0.55077877826581,0.00156960875808343,7220864.474564,0,0.0583319664001465,329.267122983933,2,876,0,3,1752,TRUE,TRUE,3
3_912_2,2.67867101296858,0.856564079687671,0.0365515447935914,2.79618294682409,0.845816204697531,0.144543329097085,2.15557361392665,0.363586459788341,0.132249630913546,2.15891487665526,0.668613464786365,0.0316380522143953,0.724339638002294,0.402132797226387,0.0579155948368354,1.13317061834835,0.467196465292738,0.592663982129322,879266.386746562,0,0.198287185536747,0.0411931785887199,0.0890563824449625,0.121679636366324,7220864.474564,0,0.0619649887084961,341.173649072647,2,912,1,3,1824,FALSE,TRUE,2
3_921_1,2.8208704842328,0.924768488597791,0.0630138319887727,2.87039241418911,0.995786046141267,0.0845403435208462,1.54371801486158,0.639586679633534,0.302967736255779,2.60207245225833,0.96263835972633,0.0842547933398328,1.40711859834843,0.320203408602008,0.227675351737138,1.65917313488451,0.366722929125653,0.473066558279744,978834.189766724,0,0.200274685130379,0.0361710388772481,0.0707034698008929,0.135469918838321,7220864.474564,0,0.0609641075134277,344.104215145111,1,921,1,3,1841,FALSE,TRUE,2
3_929_2,2.79463201689099,0.932375506475166,0.18047621324369,2.71671243391824,0.872033532781301,0.138635938488884,1.41907738618733,0.604181478023825,0.280721081824317,2.41605441321895,0.862649734055987,0.15957225333369,1.11453340297293,0.515048115995727,0.109083054569355,1.0304202831164,0.527801565308334,0.72657767367644,853303.322996265,0,0.19835683217691,0.0436779273592874,0.088416348100107,0.118083715073549,7220864.474564,0,0.0529689788818359,346.944071054459,2,929,1,3,1858,FALSE,TRUE,3
3_942_2,2.67867101296858,0.856564079687671,0.0365515447935914,2.79618294682409,0.845816204697531,0.144543329097085,2.15557361392665,0.394757474841871,0.181238785935933,2.45822169013106,0.788693086186053,0.181520042434836,0.85833893364478,0.567331039939675,0.142042808735948,1.13317061834835,0.467196465292738,0.592663982129322,879266.386746561,0,0.198291221351688,0.0381811578113734,0.0890193004997482,0.121679636366324,7220864.474564,0,0.0519709587097168,351.222371101379,2,942,1,3,1884,FALSE,TRUE,1
3_957_2,2.6806386030504,0.856564079687671,0.0365515447935914,2.79618294682409,0.845816204697531,0.170197006553375,1.71571134931304,0.645857080473128,0.0994821717732776,1.29131383318181,0.522945916222348,0.0904524578798107,2.42643120657792,0.824637665002953,0.28056322735512,1.19539345551879,0.502610487968351,0.365690762937566,510736.152214571,0,0.185508087299215,0.0722833735881978,0.202688743450484,0.0706376742107655,7220864.474564,0,0.0599658489227295,356.279140949249,2,957,1,3,1914,FALSE,TRUE,3
3_995_1,2.64354385545531,0.988356748908703,0.10608085601746,1.80705183905273,0.890502667360408,0.181788092111775,1.95948204354846,0.334245590322882,0.321780888772449,2.61579482178028,0.564110277555836,0.0332242500278657,2.05638445861048,0.793969377804327,0.264246726853401,1.31720930490501,0.525237279281551,0.470496275687158,440446.848169661,0,0.182209947377269,0.0719021435182817,0.230787442127811,0.0609025055303531,7220864.474564,0,0.0619659423828125,370.506006002426,1,995,1,3,1989,TRUE,TRUE,1
4_213_2,2.90766644076052,0.89687707557217,0.0380498119572112,0.920373632686251,0.623791116126592,0.0624212122801138,1.56657062139079,0.864854363777435,0.0876849812843367,2.57642426638056,0.525771801270897,0.211412429015098,0.946479295429509,0.387904524028582,0.135365460472953,0.869439173191713,0.609769276582167,0.620230957140453,2162511.57705412,0,0.212438061188115,0.0280776991813988,-0.0456030917079926,0.299410922167505,7220864.474564,0,0.0899410247802734,77.1807019710541,2,213,1,4,426,FALSE,TRUE,3
