solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,dieci_costo,venti_costo,cluster,top_sol
2_959_2,0,0.145390258589679,0.155654814444006,0.0698461527886624,0.847422620900176,0,0.930946012911044,0.17214802678539,0.11930447141779,0.16128405130868,2,FALSE
2_965_2,0,0.184418439320403,0.138823928453166,0.153938494909935,0.744822155690754,0,0.337472559251532,0.352241290725176,0.280368985101137,0.340456272230964,3,FALSE
2_971_1,0,0.231492755334919,0.102387802415363,0.640743600008232,0,0,0,0.722179425535742,0.70827091188258,0.99760808806862,1,FALSE
2_994_1,0,0.176525170192967,0.143212433447141,0.0854022601440848,0.768333347897924,0,0.456201107448134,0.310116914402263,0.211431669265357,0.382752958618822,3,FALSE
3_255_1,0,0.204273928924523,0.137175764425711,0.154102875195238,0.544931370704388,0,0,0.413740431002896,0.226698834046275,0.382184635169431,3,FALSE
3_343_1,0,0.204849751942865,0.136975000408768,0.195656326980824,0.690929276227758,0,0,0.396939381157927,0.233549181111814,0.328811152873454,3,FALSE
3_456_2,0,0.198493646671802,0.136484564389795,0.147255630092797,0.758228597822293,0,0,0.365010279706886,0.242264049506291,0.345018775811491,3,FALSE
3_476_1,0,0.180808839681313,0.142742995196011,0.141690998253842,0.640758517274834,0,0.363011676217319,0.320114188381533,0.187633260780974,0.279475573565008,3,FALSE
3_484_2,0,0.182060273030669,0.141205572734929,0.170896939543442,0.731097593402492,0,0.394265895173637,0.333182745255859,0.212515922124974,0.326276680437518,3,FALSE
3_498_1,0,0.156399977310786,0.148945886853367,0.0616168761743176,0.888496049742316,0,0.774018624526948,0.251082336790746,0.120523039733142,0.252463020512301,2,FALSE
3_500_2,0,0.167655102537115,0.146494663645881,0.0621105248748322,0.595359905563021,0,0.476712899521096,0.319884537334816,0.163982717337332,0.240734245025537,3,FALSE
3_526_1,0,0.194424048921375,0.13725027786279,0.202428321465456,0.661470719677233,0,0.221089478038153,0.347851249497183,0.236097973498708,0.367762440484458,3,FALSE
3_541_1,0,0.202838520604528,0.137214084754241,0.197474473912001,0.799877726018654,0,0,0.350482515783962,0.237560007453184,0.366663352724107,3,FALSE
3_546_1,0,0.225619517492397,0.103382258284573,0.267479779614213,0,0,0,0.21001687561761,0.570224312088346,0.766256816780964,1,FALSE
3_556_1,0,0.185704674967277,0.140768103797651,0.175188359759553,0.781975159557971,0,0.342778302055239,0.346078216068315,0.212255633258403,0.366272413594766,3,FALSE
3_558_1,0,0.156882511687691,0.148939089429976,0.0749373357409457,0.87900279849367,0,0.785908361451802,0.251055950792414,0.120702021170176,0.251901098442818,2,FALSE
3_561_1,0,0.226225791907121,0.103375961809976,0.338029489599813,0,0,0,0.215308488682197,0.573222562695316,0.763495964022389,1,FALSE
3_581_2,0,0.158498100414191,0.148912489633026,0.0683409823849113,0.792704352135082,0,0.837271992791153,0.284129970714574,0.128836790137068,0.284316056141243,2,FALSE
3_591_1,0,0.230583435317894,0.103301427030606,0.164286316670306,0,0,0,0.28216945333807,0.508602460966263,0.82983261865033,1,FALSE
3_626_2,0,0.158720921490153,0.14890818623336,0.0663903044357322,0.805193403603504,0,0.824272675824324,0.284107555276241,0.128855061720329,0.283793837845596,2,FALSE
3_656_2,0,0.150358294755617,0.150918477325155,0.0635380574085182,0.816904375267602,0,0.870758556724509,0.248354906205826,0.119870293437404,0.232116062829801,2,FALSE
3_666_2,0,0.163307025251674,0.148040856689449,0.0903764407053544,0.794660813606386,0,0.589031516319809,0.283727135099794,0.151485270511664,0.259265879690987,2,FALSE
3_671_2,0,0.150161987103219,0.150914341333652,0.0632867260141503,0.844774182023974,0,0.876606852986886,0.248302589757746,0.119822820478441,0.23215280507226,2,FALSE
3_672_2,0,0.144570808168133,0.160618660692974,0.0462358182812303,0.686468167735451,0,0.877764044122952,0.114343119433252,0.0508445729317617,0.100199243229131,2,FALSE
3_681_1,0,0.225153643721164,0.103410888759479,0.287477917894446,0,0,0,0.260777943157575,0.581424954078722,0.737848035921839,1,FALSE
3_696_2,0,0.161620936189735,0.148173811088374,0.0728766512041352,0.848016459205556,0,0.605382644198813,0.286943211438898,0.148062558653048,0.263047817767253,2,FALSE
3_700_1,0,0.183362938048464,0.138307649392133,0.11852681906699,0.706504793283783,0,0.372057698135541,0.408097039878016,0.231063762153421,0.416896720005127,3,FALSE
3_708_1,0,0.15511309516052,0.147058610925279,0.082682612410305,0.911399565042715,0,0.738588806983676,0.261313535310185,0.175585658343203,0.226272959408862,2,FALSE
3_710_2,0,0.244858928781733,0.102600781601557,0.619983410795146,0,0,0,0.687957245177439,0.473964247265568,0.7612086383355,1,FALSE
3_735_2,0,0.26877527496103,0.10227435412601,0.812956204707955,0,0,0,0.607246596969521,0.527331110147221,0.755012659652142,1,FALSE
3_736_2,0,0.2217555457594,0.10301688151768,0.274379005273693,0,0,0,0.529292794626043,0.599331226232588,0.939092758355989,1,FALSE
3_766_2,0,0.222423094402874,0.103023027266917,0.253846159478675,0,0,0,0.526408022554364,0.5970153679675,0.941565461230916,1,FALSE
3_770_2,0,0.197819105837754,0.137060716890681,0.151133669172095,0.839664972332735,0,0,0.369336743589937,0.253910609094373,0.349592661354832,3,FALSE
3_773_2,0,0.198498383901554,0.138088189235535,0.178386227334658,0.789687150605092,0,0.0841516760778822,0.308957295094184,0.246550243615799,0.304417412946718,3,FALSE
3_781_2,0,0.235107811069855,0.103063262069786,0.209194654281907,0,0,0,0.486612158354248,0.473104466994268,0.937972124387442,1,FALSE
3_787_1,0,0.140941104988392,0.16364786562363,0.0314632458384319,0.690139919951189,0,0.9312000046464,0.107786013124453,0.0488805527455658,0.076647697335997,2,FALSE
3_800_2,0,0.197445161142323,0.137065344444002,0.146664064852281,0.844956262760062,0,0,0.369231585522839,0.253853347214641,0.34962375827861,3,FALSE
3_815_2,0,0.198560645859451,0.136926955384472,0.145051340922286,0.772746637138325,0,0,0.389099990569715,0.257426120563038,0.394417431001728,3,FALSE
3_817_1,0,0.180497798996267,0.139657781177614,0.136470964353627,0.863073073108494,0,0.388718523134069,0.32329788448893,0.215742530197134,0.390615842117039,3,FALSE
3_836_2,0,0.222802905201474,0.112439967468384,0.389081612361623,0,0,0,0.547422242171142,0.50515296558586,0.794424007601613,1,FALSE
3_838_2,0,0.19541555093084,0.136886654030256,0.235212040279556,0.580617156505118,0,0.301509753531324,0.350954367981073,0.261356907271423,0.402954934268987,3,FALSE
