solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,DIG_costo,GEN_costo,cluster,top_sol
3_907_2,0,0.684860571336177,0.108079836143097,0.356392742682746,0.553556741681119,0,0,0.643041732583135,0,0.0312272914744104,3,FALSE
3_924_2,0,0.35538986468522,0.148927886277639,0.113771094803022,0.524613870766653,0,0,0.354434500983495,0.591421377806363,0.182386262182706,4,FALSE
3_964_1,0,0.287605788148647,0.164000341182094,0.0330277936021608,0.223429552965314,0,0.32600357838473,0.168179271550714,0.375245752059424,0.128246710544632,2,FALSE
3_964_2,0,0.584125475945709,0.110367509068911,0.397407254711195,0.631744467860401,0,0,0.726114521797304,0,0.160862014753505,3,FALSE
3_966_2,0,0.323411717897628,0.153370640795277,0.116736714171902,0.265321111182721,0,0.388769664235798,0.260147954938347,0.497446257361106,0.169645384246775,6,FALSE
3_975_1,0,0.266212041710225,0.169034375449212,0.0394293935357456,0.351882598645185,0,0.791066611179218,0.113561070775349,0.355700122348107,0.0977611762156969,2,FALSE
3_981_2,0,0.304511871343321,0.153431171759525,0.0729939675400946,0.567156425972026,0,0.395446360954786,0.254057768821286,0.555900450857386,0.169940480083573,6,FALSE
3_983_2,0,0.647210699055104,0.108270102962954,0.4456516409737,0.201207257955304,0,0,0.876567767638204,0,0.1394825344907,7,FALSE
3_990_2,0,0.458432178213657,0.115542381923591,0.283143058375817,0.488827206947885,0,0,0.78136980536149,0.371710719111514,0.225322987115625,3,TRUE
3_993_1,0,0.369624698345045,0.149621193546728,0.11552882492155,0.541185480737083,0,0,0.423681762393921,0.597287870178835,0.16231982702506,4,FALSE
3_995_2,0,0.478075003518131,0.113210896385847,0.258734335894174,0.963061231443119,0,0,0.72893662174724,0.612429597229246,0.0962367076033984,5,FALSE
4_404_1,0,0.516633374709778,0.11174090171168,0.394690117568669,0.53809062562516,0,0,0.952966249537257,0.34536881393962,0.191287571828349,3,FALSE
4_509_2,0,0.452665001623468,0.117513066758823,0.276739602327471,1,0,0,0.791872655131963,0.420532527778151,0.202179690955701,5,FALSE
4_560_2,0,0.454227569359334,0.115754465939526,0.245741347625486,0.969508969801266,0,0,0.731092853557041,0.787012887788879,0.106941347567742,5,FALSE
4_575_2,0,0.46707327931133,0.115433869035621,0.280197386554528,0.903763283893836,0,0,0.871480036878989,0.787884926233435,0.110998158290035,5,FALSE
4_578_1,0,0.419936570077074,0.121062596712905,0.206990543879797,0.791291547085668,0,0,0.736104357033173,0.871222794029646,0.141193684742991,5,FALSE
4_582_1,0,0.250840657564789,0.180009956882331,0.00946450771139975,0.102038811267454,0,0.436344714084398,0.0131481263112484,0.217541831467868,0.0564675385965175,2,FALSE
4_590_2,0,0.638197807504855,0.108517250222885,0.315098822574597,0.768964494405345,0,0,0.299749526106421,0.00837444646551819,0.062251185474486,3,FALSE
4_600_2,0,0.318587227459483,0.154601584349005,0.0941018603405214,0.511904398998785,0,0.745218969757316,0.367326954056116,0.645158368139994,0.121934947054693,6,FALSE
4_630_2,0,0.317008566841055,0.154335278683961,0.0950082985478797,0.569472109734118,0,0.732137218583135,0.321665562683409,0.644954267847517,0.121744196411583,6,FALSE
4_653_1,0,0.593041327515125,0.109380627400706,0.329719568483155,0.327286784709669,0,0,0.888921777191829,0.585968251708595,0.0176002725221164,5,FALSE
4_656_1,0,0.28939515665021,0.160127181744077,0.0526356022420575,0.532938158242165,0,0.972797263612,0.231256964449544,0.480571608382326,0.108416349842631,2,FALSE
4_665_2,0,0.452232303549231,0.115826524997446,0.245095058283155,0.962052613060249,0,0,0.704863460199512,0.422382157812199,0.171342250508148,5,FALSE
4_673_2,0,0.256753515249343,0.179043791189604,0.0100628801581796,0.0879261844293336,0,0.513057762172166,0.0241566233083922,0.184215170317195,0.0559154632308226,2,FALSE
4_709_2,0,0.434323964157619,0.116756143993192,0.308258390805512,0.753334615959054,0,0,0.814074525368122,0.685716223540942,0.207763318187275,5,FALSE
4_732_1,0,0.557794358550611,0.110541350340304,0.436872876564584,0.445548796328291,0,0,0.946627586470826,0.137354915981664,0.208303481673012,3,FALSE
4_755_2,0,0.550198947037648,0.110359379036114,0.325458920755372,0.69038634336807,0,0,0.791510764705815,0,0.178824570716127,3,FALSE
4_778_1,0,0.556230595522107,0.111188650752976,0.353260823057655,0.617087042308443,0,0,0.850464699748289,0.656869294729058,0.0340375706167773,5,FALSE
4_794_2,0,0.631895990026437,0.109039202736521,0.613263597339874,0.204450267556098,0,0,0.940490268857175,0.381683510588607,0.127127826874244,7,FALSE
4_811_2,0,0.267466895531223,0.167979044641056,0.0327224616583549,0.282314574433337,0,0.515079616173126,0.137038648259834,0.343326787203444,0.118145548384828,2,FALSE
4_827_2,0,0.279552084775714,0.166135231410528,0.0438092217103148,0.395972120889725,0,0.955949613565871,0.19127456880585,0.414019328925909,0.0957954708639114,2,FALSE
4_848_2,0,0.460561726011482,0.117288986493376,0.312933266117074,0.871084459770262,0,0,0.655255996960374,0.686509885850109,0.137076159744083,5,FALSE
4_850_1,0,0.353227691898212,0.150178812549372,0.0714664563895365,0.644240639494553,0,0,0.337484815053404,0.65792212939244,0.158849119316692,4,FALSE
4_856_1,0,0.349177517402294,0.15098188479852,0.0926014135870171,0.525120200363287,0,0,0.335301591989308,0.621394384021974,0.171999326822087,4,FALSE
4_873_1,0,0.253135308372183,0.178852294447842,0.00812045193534733,0.138415241064306,0,0.492558863914965,0.0221324126323606,0.20782035367686,0.055197632484648,2,FALSE
4_876_2,0,0.353005941031822,0.150806242732053,0.10024557916828,0.625836613860795,0,0,0.326253205865558,0.618132216178172,0.174863665563706,4,FALSE
4_895_1,0,0.302648125839657,0.156467846797801,0.0849505908401701,0.490942358814003,0,0.485222618144484,0.27104282396242,0.574103313796726,0.157474963074904,6,FALSE
4_897_2,0,0.263135522543957,0.168580503183355,0.0382968782122396,0.282496530593575,0,0.956284142639638,0.153144528206394,0.410784707105407,0.0946776130514758,2,FALSE
4_903_1,0,0.259363571818738,0.178918613701559,0.00919207816110658,0.138107382980024,0,0.495251115584043,0.0220127111266371,0.211307249087399,0.0508781970119369,2,FALSE
4_925_1,0,0.298795096976783,0.156581114695729,0.059841826958865,0.473693501554665,0,0.445021692424195,0.269478374419961,0.576095333147421,0.1487169721083,6,FALSE
4_942_2,0,0.260627909510833,0.168538455650316,0.0374004855648742,0.282768079307462,0,0.954105491526546,0.153304698068303,0.404538382197333,0.0977115500421495,2,FALSE
4_944_2,0,0.580510519842772,0.110612346429638,0.563150775933802,0.362173792301027,0,0,0.900258294852691,0.609002660042266,0.120957992004398,5,FALSE
4_948_1,0,0.253135308372183,0.178852294447842,0.00812045193534734,0.138415241064306,0,0.492558863914965,0.0221324126323606,0.20782035367686,0.055197632484648,2,FALSE
4_955_1,0,0.268096133049925,0.167494235738316,0.0485328173707302,0.348825508597945,0,0.669383451801323,0.133466918042985,0.400745141980521,0.115185091279296,2,FALSE
4_957_2,0,0.263539475911459,0.169445476876968,0.0317322569081228,0.274016059873815,0,0.939840145869096,0.143662946304437,0.403072546905276,0.0878238044329935,2,FALSE
4_963_1,0,0.251687596634466,0.178854961057608,0.00826050420628968,0.0858907475535972,0,0.491586744272817,0.0184729033682959,0.207392599347908,0.0550279566054988,2,FALSE
