solID,DIG_costo_alphas,DIG_costo_gammas,DIG_costo_thetas,GEN_costo_alphas,GEN_costo_gammas,GEN_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_865_2,1.87691812003158,0.799051487717667,0.493789041797933,2.95104720362466,0.866245413187286,0.114252522075445,2.93515166664784,0.925412140211527,0.0789934377784607,1.07690892952979,0.891475526437409,0.234389074323922,1.8786052381182,0.434355269759202,0.246096526410793,2.63449249602302,0.411776721244665,0.236749594156083,0.544782047180724,0.403101030958668,0.0685791252151493,2175495.57265603,0,0.178833308512909,0.246263047981236,-0.0363566109282076,0.301621674893535,7210993.61728321,0,0.0255391597747803,125.455801010132,2,865,1,1,1730,TRUE,TRUE,1
1_869_2,2.69377137136843,0.770810133690609,0.407299525502447,2.46078593480212,0.91357975711822,0.161184061223932,2.77521557628014,0.930409826351929,0.00644601827349156,0.785290947766741,0.878307015363015,0.208577308415262,1.57634395643805,0.485469096744499,0.197513808549187,1.96095346918981,0.622117801322288,0.0134606509626046,2.40161028875306,0.4572010638533,0.301386517170225,343715.712871712,0,0.12053298702224,0.439108427420821,0.5246864470151,0.047570270424239,7210993.61728321,0,0.0279998779296875,126.036984920502,2,869,0,1,1738,TRUE,TRUE,3
1_874_1,2.47072287982112,0.572268025253314,0.484357550571434,1.79960029655202,0.813266297957025,0.27697099187677,2.68735384104864,0.950187272813167,0.00479141026605661,2.02717794912493,0.589746337691812,0.182342396848092,1.65298221334063,0.392405086697801,0.247006535817556,1.65811064985825,0.93137446860751,0.0981068519374625,0.656541623955334,0.780493683669126,0.0580588335736502,477539.159210455,0,0.152303195950804,0.330073659633391,0.248324434560332,0.0661303797690825,7210993.61728321,0,0.0279300212860107,126.704019069672,1,874,1,1,1747,TRUE,TRUE,2
1_876_1,2.76241151960234,0.301787821733812,0.474632904360949,1.92395003144499,0.774296496189042,0.189412264067087,2.74960042060886,0.938160313050219,0.0339858259596666,2.7893147086792,0.495460088989001,0.214382615509425,0.801158127258523,0.504946207529027,0.0570438960939141,2.20434273897738,0.451555637209382,0.221603617671058,0.661112615424386,0.886313783937426,0.0404242395611298,518477.733899663,0,0.154676139404297,0.307729438293117,0.22471916684902,0.0718081921662497,7210993.61728321,0,0.0359988212585449,126.999732971191,1,876,1,1,1751,TRUE,TRUE,2
1_886_2,1.72757594712366,0.908601579080753,0.383941191364201,2.98515565011152,0.951011033395796,0.101541684495558,2.75487373657257,0.953251371132815,0.00952236902486513,2.41573168364916,0.904505064277581,0.0534991178685472,0.948782649288437,0.497994771370011,0.277698106750317,2.58076152490194,0.967222866586132,0.0841403558627684,2.41250207074741,0.370889433645368,0.207943339975424,351241.020782217,0,0.120106508119154,0.421968271997816,0.528044076883349,0.0486139630019884,7210993.61728321,0,0.028188943862915,128.448210000992,2,886,0,1,1772,TRUE,TRUE,2
1_901_2,0.695457918642645,0.661183141148211,0.448529458112573,2.78973406629468,0.951011033395796,0.101541684495558,2.75487373657257,0.953251371132815,0.0095223690248651,2.41573168364916,0.904505064277581,0.0534991178685472,0.948782649288437,0.497994771370011,0.277698106750317,2.35468390389302,0.902290478309599,0.0630425426035938,1.35441306742102,0.364882938868046,0.161865699485883,179638.828288961,0,0.112647304447117,0.51237842103772,0.584845292267759,0.0248142810805727,7210993.61728321,0,0.0280427932739258,130.583855867386,2,901,0,1,1802,TRUE,TRUE,3
1_904_1,2.47072287982112,0.572268025253314,0.484357550571434,1.79960029655202,0.813266297957025,0.27697099187677,2.68735384104864,0.950187272813167,0.00479141026605658,2.02717794912493,0.589746337691812,0.182342396848092,1.65298221334063,0.392405086697801,0.247006535817556,1.65811064985825,0.695010620452977,0.389778834947439,0.656541623955334,0.780493683669126,0.0580588335736501,477539.159210454,0,0.152574575937751,0.323507708001493,0.245643316250092,0.0661303797690824,7210993.61728321,0,0.02836012840271,130.980570077896,1,904,1,1,1807,TRUE,TRUE,2
1_909_1,2.35058258083952,0.604184890570029,0.395537700058424,2.51965670409753,0.970979257648787,0.119171542307116,2.56363981302839,0.950025780199856,0.072878814549867,0.73000790975149,0.980576285471073,0.211813805742632,2.81758900287292,0.333485425911638,0.37752464079188,2.62987673150457,0.717266775022388,0.258775022465094,2.63667010469971,0.447060298757886,0.259249550872686,136564.725249866,0,0.110959102425803,0.566292078130034,0.597195578363578,0.0188402900931264,7210993.61728321,0,0.0290021896362305,131.767121076584,1,909,0,1,1817,TRUE,TRUE,3
1_924_1,2.35058258083952,0.604184890570029,0.395537700058424,2.51965670409753,0.970979257648787,0.119171542307116,2.56363981302839,0.950025780199856,0.072878814549867,0.73000790975149,0.558782131759242,0.33525440635636,1.40714435227449,0.362114625102838,0.337306392366942,2.18314513104183,0.717266775022388,0.258775022465094,2.63667010469971,0.447060298757886,0.259249550872686,136564.725249866,0,0.111104413842281,0.553285288646491,0.596139866728689,0.0188402900931264,7210993.61728321,0,0.0359230041503906,134.011076927185,1,924,0,1,1847,TRUE,TRUE,2
1_934_1,2.47072287982112,0.572268025253314,0.484357550571434,1.79960029655202,0.813266297957025,0.27697099187677,2.68735384104864,0.950187272813167,0.00479141026605658,1.42972968560821,0.634966809316854,0.112046672217315,2.31758695188589,0.353922263373041,0.247006535817556,1.65811064985825,0.93137446860751,0.0981068519374625,0.656541623955334,0.780493683669126,0.0580588335736501,477539.159210454,0,0.15230963889705,0.329970880073303,0.248260836319076,0.0661303797690824,7210993.61728321,0,0.0260899066925049,135.502542972565,1,934,1,1,1867,TRUE,TRUE,2
